1F9D1 1F3FB                                            :person;skin-tone-l
1F9D1 1F3FC                                            :person;skin-tone-ml
1F9D1 1F3FD                                            :person;skin-tone-m
1F9D1 1F3FE                                            :person;skin-tone-md
1F9D1 1F3FF                                            :person;skin-tone-d
1F471                                                  :person;blond-hair
1F471 1F3FB                                            :person;skin-tone-l-blond-hair
1F471 1F3FC                                            :person;skin-tone-ml-blond-hair
1F471 1F3FD                                            :person;skin-tone-m-blond-hair
1F471 1F3FE                                            :person;skin-tone-md-blond-hair
1F471 1F3FF                                            :person;skin-tone-d-blond-hair
1F468                                                  :man
1F468 1F3FB                                            :man;skin-tone-l
1F468 1F3FC                                            :man;skin-tone-ml
1F468 1F3FD                                            :man;skin-tone-m
1F468 1F3FE                                            :man;skin-tone-md
1F468 1F3FF                                            :man;skin-tone-d
1F9D4                                                  :person;beard
1F9D4 1F3FB                                            :person;skin-tone-l-beard
1F9D4 1F3FC                                            :person;skin-tone-ml-beard
1F9D4 1F3FD                                            :person;skin-tone-m-beard
1F9D4 1F3FE                                            :person;skin-tone-md-beard
1F9D4 1F3FF                                            :person;skin-tone-d-beard
1F9D4 200D 2642 FE0F                                   :man;beard
1F9D4 200D 2642                                        :man;beard
1F9D4 1F3FB 200D 2642 FE0F                             :man;skin-tone-l-beard
1F9D4 1F3FB 200D 2642                                  :man;skin-tone-l-beard
1F9D4 1F3FC 200D 2642 FE0F                             :man;skin-tone-ml-beard
1F9D4 1F3FC 200D 2642                                  :man;skin-tone-ml-beard
1F9D4 1F3FD 200D 2642 FE0F                             :man;skin-tone-m-beard
1F9D4 1F3FD 200D 2642                                  :man;skin-tone-m-beard
1F9D4 1F3FE 200D 2642 FE0F                             :man;skin-tone-md-beard
1F9D4 1F3FE 200D 2642                                  :man;skin-tone-md-beard
1F9D4 1F3FF 200D 2642 FE0F                             :man;skin-tone-d-beard
1F9D4 1F3FF 200D 2642                                  :man;skin-tone-d-beard
1F9D4 200D 2640 FE0F                                   :woman;beard
1F9D4 200D 2640                                        :woman;beard
1F9D4 1F3FB 200D 2640 FE0F                             :woman;skin-tone-l-beard
1F9D4 1F3FB 200D 2640                                  :woman;skin-tone-l-beard
1F9D4 1F3FC 200D 2640 FE0F                             :woman;skin-tone-ml-beard
1F9D4 1F3FC 200D 2640                                  :woman;skin-tone-ml-beard
1F9D4 1F3FD 200D 2640 FE0F                             :woman;skin-tone-m-beard
1F9D4 1F3FD 200D 2640                                  :woman;skin-tone-m-beard
1F9D4 1F3FE 200D 2640 FE0F                             :woman;skin-tone-md-beard
1F9D4 1F3FE 200D 2640                                  :woman;skin-tone-md-beard
1F9D4 1F3FF 200D 2640 FE0F                             :woman;skin-tone-d-beard
1F9D4 1F3FF 200D 2640                                  :woman;skin-tone-d-beard
1F468 200D 1F9B0                                       :man;red-hair
1F468 1F3FB 200D 1F9B0                                 :man;skin-tone-l-red-hair
1F468 1F3FC 200D 1F9B0                                 :man;skin-tone-ml-red-hair
1F468 1F3FD 200D 1F9B0                                 :man;skin-tone-m-red-hair
1F468 1F3FE 200D 1F9B0                                 :man;skin-tone-md-red-hair
1F468 1F3FF 200D 1F9B0                                 :man;skin-tone-d-red-hair
1F468 200D 1F9B1                                       :man;curly-hair
1F468 1F3FB 200D 1F9B1                                 :man;skin-tone-l-curly-hair
1F468 1F3FC 200D 1F9B1                                 :man;skin-tone-ml-curly-hair
1F468 1F3FD 200D 1F9B1                                 :man;skin-tone-m-curly-hair
1F468 1F3FE 200D 1F9B1                                 :man;skin-tone-md-curly-hair
1F468 1F3FF 200D 1F9B1                                 :man;skin-tone-d-curly-hair
1F468 200D 1F9B3                                       :man;white-hair
1F468 1F3FB 200D 1F9B3                                 :man;skin-tone-l-white-hair
1F468 1F3FC 200D 1F9B3                                 :man;skin-tone-ml-white-hair
1F468 1F3FD 200D 1F9B3                                 :man;skin-tone-m-white-hair
1F468 1F3FE 200D 1F9B3                                 :man;skin-tone-md-white-hair
1F468 1F3FF 200D 1F9B3                                 :man;skin-tone-d-white-hair
1F468 200D 1F9B2                                       :man;bald
1F468 1F3FB 200D 1F9B2                                 :man;skin-tone-l-bald
1F468 1F3FC 200D 1F9B2                                 :man;skin-tone-ml-bald
1F468 1F3FD 200D 1F9B2                                 :man;skin-tone-m-bald
1F468 1F3FE 200D 1F9B2                                 :man;skin-tone-md-bald
1F468 1F3FF 200D 1F9B2                                 :man;skin-tone-d-bald
1F469                                                  :woman
1F469 1F3FB                                            :woman;skin-tone-l
1F469 1F3FC                                            :woman;skin-tone-ml
1F469 1F3FD                                            :woman;skin-tone-m
1F469 1F3FE                                            :woman;skin-tone-md
1F469 1F3FF                                            :woman;skin-tone-d
1F469 200D 1F9B0                                       :woman;red-hair
1F469 1F3FB 200D 1F9B0                                 :woman;skin-tone-l-red-hair
1F469 1F3FC 200D 1F9B0                                 :woman;skin-tone-ml-red-hair
1F469 1F3FD 200D 1F9B0                                 :woman;skin-tone-m-red-hair
1F469 1F3FE 200D 1F9B0                                 :woman;skin-tone-md-red-hair
1F469 1F3FF 200D 1F9B0                                 :woman;skin-tone-d-red-hair
1F9D1 200D 1F9B0                                       :person;red-hair
1F9D1 1F3FB 200D 1F9B0                                 :person;skin-tone-l-red-hair
1F9D1 1F3FC 200D 1F9B0                                 :person;skin-tone-ml-red-hair
1F9D1 1F3FD 200D 1F9B0                                 :person;skin-tone-m-red-hair
1F9D1 1F3FE 200D 1F9B0                                 :person;skin-tone-md-red-hair
1F9D1 1F3FF 200D 1F9B0                                 :person;skin-tone-d-red-hair
1F469 200D 1F9B1                                       :woman;curly-hair
1F469 1F3FB 200D 1F9B1                                 :woman;skin-tone-l-curly-hair
1F469 1F3FC 200D 1F9B1                                 :woman;skin-tone-ml-curly-hair
1F469 1F3FD 200D 1F9B1                                 :woman;skin-tone-m-curly-hair
1F469 1F3FE 200D 1F9B1                                 :woman;skin-tone-md-curly-hair
1F469 1F3FF 200D 1F9B1                                 :woman;skin-tone-d-curly-hair
1F9D1 200D 1F9B1                                       :person;curly-hair
1F9D1 1F3FB 200D 1F9B1                                 :person;skin-tone-l-curly-hair
1F9D1 1F3FC 200D 1F9B1                                 :person;skin-tone-ml-curly-hair
1F9D1 1F3FD 200D 1F9B1                                 :person;skin-tone-m-curly-hair
1F9D1 1F3FE 200D 1F9B1                                 :person;skin-tone-md-curly-hair
1F9D1 1F3FF 200D 1F9B1                                 :person;skin-tone-d-curly-hair
1F469 200D 1F9B3                                       :woman;white-hair
1F469 1F3FB 200D 1F9B3                                 :woman;skin-tone-l-white-hair
1F469 1F3FC 200D 1F9B3                                 :woman;skin-tone-ml-white-hair
1F469 1F3FD 200D 1F9B3                                 :woman;skin-tone-m-white-hair
1F469 1F3FE 200D 1F9B3                                 :woman;skin-tone-md-white-hair
1F469 1F3FF 200D 1F9B3                                 :woman;skin-tone-d-white-hair
1F9D1 200D 1F9B3                                       :person;white-hair
1F9D1 1F3FB 200D 1F9B3                                 :person;skin-tone-l-white-hair
1F9D1 1F3FC 200D 1F9B3                                 :person;skin-tone-ml-white-hair
1F9D1 1F3FD 200D 1F9B3                                 :person;skin-tone-m-white-hair
1F9D1 1F3FE 200D 1F9B3                                 :person;skin-tone-md-white-hair
1F9D1 1F3FF 200D 1F9B3                                 :person;skin-tone-d-white-hair
1F469 200D 1F9B2                                       :woman;bald
1F469 1F3FB 200D 1F9B2                                 :woman;skin-tone-l-bald
1F469 1F3FC 200D 1F9B2                                 :woman;skin-tone-ml-bald
1F469 1F3FD 200D 1F9B2                                 :woman;skin-tone-m-bald
1F469 1F3FE 200D 1F9B2                                 :woman;skin-tone-md-bald
1F469 1F3FF 200D 1F9B2                                 :woman;skin-tone-d-bald
1F9D1 200D 1F9B2                                       :person;bald
1F9D1 1F3FB 200D 1F9B2                                 :person;skin-tone-l-bald
1F9D1 1F3FC 200D 1F9B2                                 :person;skin-tone-ml-bald
1F9D1 1F3FD 200D 1F9B2                                 :person;skin-tone-m-bald
